timestamp,nation,unit_id,action_type,from_q,from_r,to_q,to_r,reason
2025-08-24T21:46:23.888208,Niemcy,P_Kompania__6_Sch_tzen_Kompanie_20250703213834,move_partial,37,12,37,8,"Partial path to target (40, 0) (MP limited)"
2025-08-24T21:46:23.892935,Niemcy,TL_Pluton__6_Panzer_Zug_20250703213840,move_full,39,-1,40,0,"Full path to target (40, 0)"
2025-08-24T21:46:23.898368,Niemcy,P_Kompania__6_Sch_tzen_Kompanie_20250703213836,move_full,39,0,40,-1,"Full path to target (40, -1)"
2025-08-24T21:46:23.905472,Niemcy,P_Batalion__6_Sch_tzen_Kompanie,move_partial,39,8,39,4,"Partial path to target [39, 0] (MP limited)"
2025-08-24T21:46:23.910026,Niemcy,P_Pluton__6_Grenadier_Bataillon,move_partial,43,-4,41,-2,"Partial path to target [39, 0] (MP limited)"
2025-08-24T21:46:23.918850,Niemcy,P_Pluton__6_Sch_tzen_Kompanie,move_partial,43,-3,41,-1,"Partial path to target [39, 0] (MP limited)"
2025-08-24T21:46:23.929377,Niemcy,AL_Pluton__6_Artillerie_Abteilung,move_partial,44,9,39,6,"Partial path to target [39, 0] (MP limited)"
2025-08-24T21:46:23.940119,Niemcy,AL_Kompania__6_Artillerie_Abteilung,move_partial,47,2,41,2,"Partial path to target [39, 0] (MP limited)"
2025-08-24T21:46:23.951745,Niemcy,P_Pluton__6_Sch_tzen_Kompanie_20250703213835,move_partial,51,-6,44,-5,"Partial path to target [39, 0] (MP limited)"
2025-08-24T21:46:23.959957,Niemcy,AL_Batalion__6_Artillerie_Abteilung,move_partial,54,1,47,0,"Partial path to target [39, 0] (MP limited)"
2025-08-24T21:46:23.961279,Niemcy,TURN_END,turn_summary,,,,,Turn completed: 17/17 units moved
2025-08-24T21:46:24.020250,Polska,TURN_START,turn_begin,,,,,AI Commander turn started for player 2
2025-08-24T21:46:24.039031,Polska,AL_Kompania__2_Dywizjon_Artylerii,move_partial,7,3,9,-1,"Partial path to target [15, -7] (MP limited)"
2025-08-24T21:46:24.042062,Polska,P_Pluton__2_Batalion_Strzelc_w,move_partial,13,-6,15,-7,"Partial path to target [15, -7] (MP limited)"
2025-08-24T21:46:24.046516,Polska,TL_Pluton__2_Pluton_Tankietek_20250703213014,move_partial,16,-5,14,-7,"Partial path to target (15, -8) (MP limited)"
2025-08-24T21:46:24.058657,Polska,P_Pluton__2_Pu_k_Piechoty_20250703213008,move_partial,16,-4,15,-6,"Partial path to target (15, -8) (MP limited)"
2025-08-24T21:46:24.140850,Polska,P_Pluton__2_Pu_k_Piechoty,move_partial,18,2,15,1,"Partial path to target (15, -8) (MP limited)"
2025-08-24T21:46:24.147011,Polska,AL_Batalion__2_Pu_k_Artylerii,move_partial,13,-5,13,-6,"Partial path to target (15, -8) (MP limited)"
2025-08-24T21:46:24.232685,Polska,TL_Pluton__2_Pluton_Tankietek,move_failed,12,-6,14,-6,Failed: Brak ścieżki do celu.
2025-08-24T21:46:24.242992,Polska,P_Kompania__2_Pu_k_Piechoty,move_partial,14,-5,14,-6,"Partial path to target (15, -8) (MP limited)"
2025-08-24T21:46:24.264296,Polska,P_Batalion__2_Kompania_Grenadier_w_20250703213005,move_partial,16,3,15,0,"Partial path to target (15, -8) (MP limited)"
2025-08-24T21:46:24.289629,Polska,AL_Pluton__2_Bateria_Artylerii,move_partial,17,-5,15,-5,"Partial path to target (15, -8) (MP limited)"
2025-08-24T21:46:24.304714,Polska,P_Batalion__2_Pu_k_Piechoty,move_partial,20,-4,16,-4,"Partial path to target (15, -8) (MP limited)"
2025-08-24T21:46:24.333786,Polska,TL_Kompania__2_Pluton_Tankietek,move_partial,20,-6,17,-5,"Partial path to target (15, -8) (MP limited)"
2025-08-24T21:46:24.341266,Polska,P_Batalion__2_Batalion_Strzelc_w,move_partial,18,-9,17,-8,"Partial path to target (15, -8) (MP limited)"
