timestamp,nation,action,econ_before,econ_after,allocated_total,units_bought,rule,metrics_json
2025-08-24T12:47:12,Polska,COMBO,94,94,0,0,strategic_combo_ROZWÓJ,"{""econ"": 94, ""own_units"": 25, ""low_fuel_ratio"": 0.08, ""strategy_name"": ""ROZWÓJ"", ""budget_ratios"": {""reserve"": 0.2, ""allocate"": 0.4, ""purchase"": 0.4}, ""game_phase"": 0.1, ""vp_status"": 0, ""phase_name"": ""WCZESNA"", ""rule"": ""strategic_combo_ROZWÓJ"", ""allocate_budget"": 37, ""purchase_budget"": 37}"
2025-08-24T12:47:13,Niemcy,HOLD,31,31,0,0,insufficient_budget,"{""econ"": 31, ""own_units"": 26, ""low_fuel_ratio"": 0.077, ""strategy_name"": ""ROZWÓJ"", ""budget_ratios"": {""reserve"": 0.2, ""allocate"": 0.4, ""purchase"": 0.4}, ""game_phase"": 0.1, ""vp_status"": 0, ""phase_name"": ""WCZESNA"", ""rule"": ""insufficient_budget""}"
2025-08-24T12:47:13,Polska,COMBO,167,167,0,0,strategic_combo_ROZWÓJ,"{""econ"": 167, ""own_units"": 25, ""low_fuel_ratio"": 0.08, ""strategy_name"": ""ROZWÓJ"", ""budget_ratios"": {""reserve"": 0.2, ""allocate"": 0.4, ""purchase"": 0.4}, ""game_phase"": 0.1, ""vp_status"": 0, ""phase_name"": ""WCZESNA"", ""rule"": ""strategic_combo_ROZWÓJ"", ""allocate_budget"": 66, ""purchase_budget"": 66}"
2025-08-24T12:47:13,Niemcy,HOLD,38,38,0,0,insufficient_budget,"{""econ"": 38, ""own_units"": 26, ""low_fuel_ratio"": 0.077, ""strategy_name"": ""ROZWÓJ"", ""budget_ratios"": {""reserve"": 0.2, ""allocate"": 0.4, ""purchase"": 0.4}, ""game_phase"": 0.1, ""vp_status"": 0, ""phase_name"": ""WCZESNA"", ""rule"": ""insufficient_budget""}"
2025-08-24T12:47:14,Polska,COMBO,247,247,0,0,strategic_combo_ROZWÓJ,"{""econ"": 247, ""own_units"": 25, ""low_fuel_ratio"": 0.08, ""strategy_name"": ""ROZWÓJ"", ""budget_ratios"": {""reserve"": 0.2, ""allocate"": 0.4, ""purchase"": 0.4}, ""game_phase"": 0.1, ""vp_status"": 0, ""phase_name"": ""WCZESNA"", ""rule"": ""strategic_combo_ROZWÓJ"", ""allocate_budget"": 98, ""purchase_budget"": 98}"
2025-08-24T12:47:14,Niemcy,COMBO,138,138,0,0,strategic_combo_ROZWÓJ,"{""econ"": 138, ""own_units"": 26, ""low_fuel_ratio"": 0.077, ""strategy_name"": ""ROZWÓJ"", ""budget_ratios"": {""reserve"": 0.2, ""allocate"": 0.4, ""purchase"": 0.4}, ""game_phase"": 0.1, ""vp_status"": 0, ""phase_name"": ""WCZESNA"", ""rule"": ""strategic_combo_ROZWÓJ"", ""allocate_budget"": 55, ""purchase_budget"": 55}"
2025-08-24T12:47:14,Polska,COMBO,335,335,0,0,strategic_combo_ROZWÓJ,"{""econ"": 335, ""own_units"": 25, ""low_fuel_ratio"": 0.08, ""strategy_name"": ""ROZWÓJ"", ""budget_ratios"": {""reserve"": 0.2, ""allocate"": 0.4, ""purchase"": 0.4}, ""game_phase"": 0.1, ""vp_status"": 0, ""phase_name"": ""WCZESNA"", ""rule"": ""strategic_combo_ROZWÓJ"", ""allocate_budget"": 134, ""purchase_budget"": 134}"
2025-08-24T12:47:15,Niemcy,COMBO,212,212,0,0,strategic_combo_ROZWÓJ,"{""econ"": 212, ""own_units"": 26, ""low_fuel_ratio"": 0.077, ""strategy_name"": ""ROZWÓJ"", ""budget_ratios"": {""reserve"": 0.2, ""allocate"": 0.4, ""purchase"": 0.4}, ""game_phase"": 0.1, ""vp_status"": 0, ""phase_name"": ""WCZESNA"", ""rule"": ""strategic_combo_ROZWÓJ"", ""allocate_budget"": 84, ""purchase_budget"": 84}"
2025-08-24T12:47:15,Polska,COMBO,410,410,0,0,strategic_combo_ROZWÓJ,"{""econ"": 410, ""own_units"": 25, ""low_fuel_ratio"": 0.08, ""strategy_name"": ""ROZWÓJ"", ""budget_ratios"": {""reserve"": 0.2, ""allocate"": 0.4, ""purchase"": 0.4}, ""game_phase"": 0.1, ""vp_status"": 0, ""phase_name"": ""WCZESNA"", ""rule"": ""strategic_combo_ROZWÓJ"", ""allocate_budget"": 164, ""purchase_budget"": 164}"
2025-08-24T12:47:15,Niemcy,COMBO,269,269,0,0,strategic_combo_ROZWÓJ,"{""econ"": 269, ""own_units"": 26, ""low_fuel_ratio"": 0.077, ""strategy_name"": ""ROZWÓJ"", ""budget_ratios"": {""reserve"": 0.2, ""allocate"": 0.4, ""purchase"": 0.4}, ""game_phase"": 0.1, ""vp_status"": 0, ""phase_name"": ""WCZESNA"", ""rule"": ""strategic_combo_ROZWÓJ"", ""allocate_budget"": 107, ""purchase_budget"": 107}"
