data_czas,tura,korelacja_id,faza,nacja,kategoria_akcji,jednostka_glowna,jednostki_wspierajace,zlozonsc_akcji,wymagana_koordynacja,typ_formacji,przewaga_terenu,oczekiwana_reakcja_wroga,wskazniki_sukcesu,czas_wykonania_ms,liczba_mikro_decyzji,wspolpraca_jednostek,innowacja_taktyczna,ograniczenie_ryzyka,plan_awaryjny_gotowy,budzet_resupply_dostepny,wydane_pe_resupply,pe_na_paliwo,pe_na_cv,paliwo_przed,paliwo_po,cv_przed,cv_po,globalne_pe_pozostalo,calkowita_potrzeba_resupply,typ_akcji,status_walidacji,kod_bledu,zgodnosc_z_regulami,id_jednostki,id_celu,z_hex_q,z_hex_r,do_hex_q,do_hex_r,stosunek_sil,prog,decyzja,powod,najblizszy_osiagalny_dystans,najblizszy_osiagalny_hex_q,najblizszy_osiagalny_hex_r,podpowiedz_przeszkody,prog_dostosowany,powod_resupply
2025-09-19 23:10:10,,combat:TL_Kompania__2_Batalion_Pancerny:X,,Polska,second_move,P_Pluton__2_Kompania_Grenadier_w,N/A,N/A,N/A,N/A,N/A,N/A,second_chance after PRE_ATTACK,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2025-09-19 23:10:10,N/A,combat:TL_Kompania__2_Batalion_Pancerny:X,target_selection,Polska,target_analysis,N/A,N/A,29,N/A,N/A,N/A,N/A,999,N/A,29,-1,N/A,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2025-09-19 23:10:10,N/A,combat:TL_Kompania__2_Batalion_Pancerny:X,movement,Unknown,Kontrolowane wycofanie,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,0,25,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,path_planned,N/A,N/A,N/A,P_Kompania__2_Pu_k_Piechoty,N/A,26,2,27,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2025-09-19 23:10:10,,combat:TL_Kompania__2_Batalion_Pancerny:X,,Polska,second_move,P_Kompania__2_Pu_k_Piechoty,N/A,N/A,N/A,N/A,N/A,N/A,second_chance after PRE_ATTACK,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2025-09-19 23:10:10,N/A,combat:TL_Kompania__2_Batalion_Pancerny:X,target_selection,Polska,target_analysis,N/A,N/A,29,N/A,N/A,N/A,N/A,1,N/A,29,22.5,N/A,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2025-09-19 23:10:10,N/A,combat:TL_Kompania__2_Batalion_Pancerny:X,movement,Unknown,Kontrolowane wycofanie,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,0,20,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,path_planned,N/A,N/A,N/A,Z_Pluton__2_Oddzia_Rozpoznawczy,N/A,28,3,27,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2025-09-19 23:10:10,,combat:TL_Kompania__2_Batalion_Pancerny:X,,Polska,second_move,Z_Pluton__2_Oddzia_Rozpoznawczy,N/A,N/A,N/A,N/A,N/A,N/A,second_chance after PRE_ATTACK,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2025-09-19 23:10:10,N/A,combat:TL_Kompania__2_Batalion_Pancerny:X,target_selection,Polska,target_analysis,N/A,N/A,29,N/A,N/A,N/A,N/A,999,N/A,29,-1,N/A,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2025-09-19 23:10:10,N/A,combat:TL_Kompania__2_Batalion_Pancerny:X,movement,Unknown,Kontrolowane wycofanie,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,0,25,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,path_planned,N/A,N/A,N/A,P_Pluton__2_Kompania_Grenadier_w_20250913214010,N/A,27,5,27,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2025-09-19 23:10:10,,combat:TL_Kompania__2_Batalion_Pancerny:X,,Polska,second_move,P_Pluton__2_Kompania_Grenadier_w_20250913214010,N/A,N/A,N/A,N/A,N/A,N/A,second_chance after PRE_ATTACK,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2025-09-19 23:10:10,N/A,combat:TL_Kompania__2_Batalion_Pancerny:X,target_selection,Polska,target_analysis,N/A,N/A,29,N/A,N/A,N/A,N/A,1,N/A,29,30.0,N/A,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2025-09-19 23:10:10,N/A,combat:TL_Kompania__2_Batalion_Pancerny:X,movement,Unknown,Kontrolowane wycofanie,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,0,20,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,path_planned,N/A,N/A,N/A,Z_Batalion__2_Kompania_Zaopatrzeniowa,N/A,24,-7,24,-8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2025-09-19 23:10:10,,combat:TL_Kompania__2_Batalion_Pancerny:X,,Polska,second_move,Z_Batalion__2_Kompania_Zaopatrzeniowa,N/A,N/A,N/A,N/A,N/A,N/A,second_chance after PRE_ATTACK,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2025-09-19 23:10:10,N/A,combat:TL_Kompania__2_Batalion_Pancerny:X,combat,Polska,Zbieranie informacji o wrogu,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,attack_opportunity_scan,N/A,N/A,N/A,TL_Kompania__2_Batalion_Pancerny,N/A,N/A,N/A,N/A,N/A,N/A,1.01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2025-09-19 23:10:10,,combat:P_Batalion__2_Batalion_Strzelc_w:X,,Polska,resupply_analysis,RESUPPLY_NEEDS,N/A,N/A,N/A,N/A,N/A,N/A,NEEDS_ANALYSIS PRE_ATTACK | TOTAL_FUEL_NEEDED: 13 | TOTAL_COMBAT_NEEDED: 0 | TOTAL_PE_NEEDED: 13 | BUDGET_AVAILABLE: 16 | UNITS_REQUIRING_HELP: 9,,N/A,N/A,N/A,N/A,N/A,16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2025-09-19 23:10:10,,combat:P_Batalion__2_Batalion_Strzelc_w:X,,Polska,resupply_detailed,Z_Pluton__2_Batalion_Wsparcia,N/A,N/A,N/A,N/A,N/A,N/A,phase1 PRE_ATTACK | PE_SPENT: fuel=1 combat=0 total=1 | BEFORE: fuel=2 combat=4 | AFTER: fuel=3 combat=4,,N/A,N/A,N/A,N/A,N/A,16,1,1,0,2,3,4,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,near_target_critical
2025-09-19 23:10:10,,combat:P_Batalion__2_Batalion_Strzelc_w:X,,Polska,resupply_detailed,TL_Kompania__2_Batalion_Pancerny,N/A,N/A,N/A,N/A,N/A,N/A,phase1 PRE_ATTACK | PE_SPENT: fuel=1 combat=0 total=1 | BEFORE: fuel=1 combat=14 | AFTER: fuel=2 combat=14,,N/A,N/A,N/A,N/A,N/A,16,1,1,0,1,2,14,14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,near_target_critical
2025-09-19 23:10:10,,combat:P_Batalion__2_Batalion_Strzelc_w:X,,Polska,resupply_detailed,P_Batalion__2_Batalion_Strzelc_w,N/A,N/A,N/A,N/A,N/A,N/A,phase1 PRE_ATTACK | PE_SPENT: fuel=1 combat=0 total=1 | BEFORE: fuel=1 combat=14 | AFTER: fuel=2 combat=14,,N/A,N/A,N/A,N/A,N/A,16,1,1,0,1,2,14,14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2025-09-19 23:10:10,,combat:P_Batalion__2_Batalion_Strzelc_w:X,,Polska,resupply_detailed,P_Batalion__2_Batalion_Strzelc_w_20250913214005,N/A,N/A,N/A,N/A,N/A,N/A,phase1 PRE_ATTACK | PE_SPENT: fuel=1 combat=0 total=1 | BEFORE: fuel=1 combat=14 | AFTER: fuel=2 combat=14,,N/A,N/A,N/A,N/A,N/A,16,1,1,0,1,2,14,14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2025-09-19 23:10:10,,combat:P_Batalion__2_Batalion_Strzelc_w:X,,Polska,resupply_detailed,P_Pluton__2_Kompania_Grenadier_w,N/A,N/A,N/A,N/A,N/A,N/A,phase1 PRE_ATTACK | PE_SPENT: fuel=1 combat=0 total=1 | BEFORE: fuel=1 combat=8 | AFTER: fuel=2 combat=8,,N/A,N/A,N/A,N/A,N/A,16,1,1,0,1,2,8,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2025-09-19 23:10:10,,combat:P_Batalion__2_Batalion_Strzelc_w:X,,Polska,resupply_detailed,P_Kompania__2_Pu_k_Piechoty,N/A,N/A,N/A,N/A,N/A,N/A,phase1 PRE_ATTACK | PE_SPENT: fuel=1 combat=0 total=1 | BEFORE: fuel=1 combat=11 | AFTER: fuel=2 combat=11,,N/A,N/A,N/A,N/A,N/A,16,1,1,0,1,2,11,11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2025-09-19 23:10:10,,combat:P_Batalion__2_Batalion_Strzelc_w:X,,Polska,resupply_detailed,Z_Pluton__2_Oddzia_Rozpoznawczy,N/A,N/A,N/A,N/A,N/A,N/A,phase1 PRE_ATTACK | PE_SPENT: fuel=1 combat=0 total=1 | BEFORE: fuel=2 combat=4 | AFTER: fuel=3 combat=4,,N/A,N/A,N/A,N/A,N/A,16,1,1,0,2,3,4,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,near_target_critical
2025-09-19 23:10:10,,combat:P_Batalion__2_Batalion_Strzelc_w:X,,Polska,resupply_detailed,P_Pluton__2_Kompania_Grenadier_w_20250913214010,N/A,N/A,N/A,N/A,N/A,N/A,phase1 PRE_ATTACK | PE_SPENT: fuel=1 combat=0 total=1 | BEFORE: fuel=1 combat=8 | AFTER: fuel=2 combat=8,,N/A,N/A,N/A,N/A,N/A,16,1,1,0,1,2,8,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2025-09-19 23:10:10,,combat:P_Batalion__2_Batalion_Strzelc_w:X,,Polska,resupply_detailed,Z_Batalion__2_Kompania_Zaopatrzeniowa,N/A,N/A,N/A,N/A,N/A,N/A,phase1 PRE_ATTACK | PE_SPENT: fuel=1 combat=0 total=1 | BEFORE: fuel=2 combat=7 | AFTER: fuel=3 combat=7,,N/A,N/A,N/A,N/A,N/A,16,1,1,0,2,3,7,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,near_target_critical
2025-09-19 23:10:10,,combat:P_Batalion__2_Batalion_Strzelc_w:X,,Polska,resupply_summary,RESUPPLY_SUMMARY,N/A,N/A,N/A,N/A,N/A,N/A,SUMMARY PRE_ATTACK | PE_SPENT_TOTAL: 9 | PE_REMAINING: 12,,N/A,N/A,N/A,N/A,N/A,N/A,9,N/A,N/A,N/A,N/A,N/A,N/A,12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2025-09-19 23:10:10,,combat:P_Batalion__2_Batalion_Strzelc_w:X,,Polska,resupply_summary,RESUPPLY_OPERATION,N/A,N/A,N/A,N/A,N/A,N/A,RESUPPLY_SUMMARY PRE_ATTACK | TOTAL_PE_SPENT: 9 | UNITS_RESUPPLIED: 9/9 | BUDGET_ALLOCATED: 16 | PE_REMAINING: 12,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2025-09-19 23:10:10,N/A,combat:P_Batalion__2_Batalion_Strzelc_w:X,target_selection,Polska,target_analysis,N/A,N/A,29,N/A,N/A,N/A,N/A,1,N/A,29,15.0,N/A,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2025-09-19 23:10:10,N/A,combat:P_Batalion__2_Batalion_Strzelc_w:X,movement,Unknown,Kontrolowane wycofanie,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,0,25,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,path_planned,N/A,N/A,N/A,TL_Kompania__2_Batalion_Pancerny,N/A,23,-7,24,-7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2025-09-19 23:10:10,,combat:P_Batalion__2_Batalion_Strzelc_w:X,,Polska,second_move,TL_Kompania__2_Batalion_Pancerny,N/A,N/A,N/A,N/A,N/A,N/A,second_chance after PRE_ATTACK,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2025-09-19 23:10:10,N/A,combat:P_Batalion__2_Batalion_Strzelc_w:X,target_selection,Polska,target_analysis,N/A,N/A,29,N/A,N/A,N/A,N/A,2,N/A,29,15.0,N/A,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2025-09-19 23:10:10,N/A,combat:P_Batalion__2_Batalion_Strzelc_w:X,movement,Unknown,Kontrolowane wycofanie,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,0,20,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,path_planned,N/A,N/A,N/A,P_Batalion__2_Batalion_Strzelc_w_20250913214005,N/A,22,-8,23,-7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2025-09-19 23:10:10,,combat:P_Batalion__2_Batalion_Strzelc_w:X,,Polska,second_move,P_Batalion__2_Batalion_Strzelc_w_20250913214005,N/A,N/A,N/A,N/A,N/A,N/A,second_chance after PRE_ATTACK,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2025-09-19 23:10:10,N/A,combat:P_Batalion__2_Batalion_Strzelc_w:X,target_selection,Polska,target_analysis,N/A,N/A,29,N/A,N/A,N/A,N/A,1,N/A,29,22.5,N/A,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2025-09-19 23:10:10,N/A,combat:P_Batalion__2_Batalion_Strzelc_w:X,movement,Unknown,Kontrolowane wycofanie,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,0,25,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,path_planned,N/A,N/A,N/A,Z_Pluton__2_Oddzia_Rozpoznawczy,N/A,27,4,28,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2025-09-19 23:10:10,,combat:P_Batalion__2_Batalion_Strzelc_w:X,,Polska,second_move,Z_Pluton__2_Oddzia_Rozpoznawczy,N/A,N/A,N/A,N/A,N/A,N/A,second_chance after PRE_ATTACK,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2025-09-19 23:10:10,N/A,combat:P_Batalion__2_Batalion_Strzelc_w:X,target_selection,Polska,target_analysis,N/A,N/A,29,N/A,N/A,N/A,N/A,999,N/A,29,-1,N/A,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2025-09-19 23:10:10,N/A,combat:P_Batalion__2_Batalion_Strzelc_w:X,movement,Unknown,Kontrolowane wycofanie,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,0,20,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,path_planned,N/A,N/A,N/A,Z_Batalion__2_Kompania_Zaopatrzeniowa,N/A,24,-8,21,-8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2025-09-19 23:10:10,,combat:P_Batalion__2_Batalion_Strzelc_w:X,,Polska,second_move,Z_Batalion__2_Kompania_Zaopatrzeniowa,N/A,N/A,N/A,N/A,N/A,N/A,second_chance after PRE_ATTACK,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2025-09-19 23:10:10,,combat:P_Batalion__2_Batalion_Strzelc_w_20250913214005:X,,Polska,resupply_analysis,RESUPPLY_NEEDS,N/A,N/A,N/A,N/A,N/A,N/A,NEEDS_ANALYSIS PRE_ATTACK | TOTAL_FUEL_NEEDED: 8 | TOTAL_COMBAT_NEEDED: 0 | TOTAL_PE_NEEDED: 8 | BUDGET_AVAILABLE: 6 | UNITS_REQUIRING_HELP: 5,,N/A,N/A,N/A,N/A,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
